subdistrict_code,subdistrict_name,district_code,latitude,longitude,timezone
2012,Babakan,29,-7.10123823,107.6680003,Asia/Jakarta
2013,Bumiwangi,29,-7.0393429,107.6942699,Asia/Jakarta
2014,Mekarlaksana,29,-7.06467905,107.69547434,Asia/Jakarta
2001,Cipeujeuh,30,-7.09239789,107.71095826,Asia/Jakarta
2002,Cikitu,30,-7.13831853,107.69243852,Asia/Jakarta
2003,Cinanggela,30,-7.13295961,107.66115193,Asia/Jakarta
2004,Maruyung,30,-7.10809111,107.70346139,Asia/Jakarta
2005,Sukarame,30,-7.15685895,107.71994066,Asia/Jakarta
2006,Nagrak,30,-7.11556168,107.72790545,Asia/Jakarta
2007,Cikawao,30,-7.12578007,107.73858181,Asia/Jakarta
2008,Mekarjaya,30,-7.11662124,107.67172092,Asia/Jakarta
2009,Pangauban,30,-7.14043174,107.67040612,Asia/Jakarta
2010,Mandalahaji,30,-7.1131684,107.71497554,Asia/Jakarta
2011,Girimulya,30,-7.16224325,107.66761641,Asia/Jakarta
2012,Tanjungwangi,30,-7.08541305,107.72116275,Asia/Jakarta
2013,Mekarsari,30,-7.09789659,107.69006456,Asia/Jakarta
2001,Sukapura,31,-7.16784312,107.69092167,Asia/Jakarta
2002,Cibeureum,31,-7.18755902,107.66809577,Asia/Jakarta
2003,Santosa,31,-7.27072812,107.63833807,Asia/Jakarta
2004,Tarumajaya,31,-7.23061188,107.66496481,Asia/Jakarta
2005,Neglawangi,31,-7.27368028,107.69498958,Asia/Jakarta
2006,Cihawuk,31,-7.19492919,107.70794676,Asia/Jakarta
2007,Cikembang,31,-7.21319243,107.68908218,Asia/Jakarta
2008,Resmi Tingal,31,-7.15237462,107.69525208,Asia/Jakarta
1001,Baleendah,32,-7.01021533,107.62696275,Asia/Jakarta
1002,Andir,32,-6.99684638,107.61582745,Asia/Jakarta
1003,Manggahang,32,-7.01956732,107.64562044,Asia/Jakarta
1004,Jelekong,32,-7.02547287,107.66078972,Asia/Jakarta
2005,Bojongmalaka,32,-6.99298077,107.60820797,Asia/Jakarta
2006,Rancamanyar,32,-6.99041888,107.59487042,Asia/Jakarta
2007,Malakasari,32,-7.00984812,107.60485985,Asia/Jakarta
1008,Wargamekar,32,-7.02208195,107.67497221,Asia/Jakarta
2002,Solokanjeruk,34,-7.00847117,107.7443461,Asia/Jakarta
2003,Cibodas,34,-7.01143946,107.76271639,Asia/Jakarta
2004,Panyadap,34,-7.02594016,107.77271238,Asia/Jakarta
2005,Bojongemas,34,-6.9981638,107.72224919,Asia/Jakarta
2006,Padamukti,34,-7.01183854,107.77194748,Asia/Jakarta
2007,Langensari,34,-7.00817276,107.75491044,Asia/Jakarta
2001,Cigentur,35,-7.01910697,107.79470751,Asia/Jakarta
2002,Cipedes,35,-7.03169522,107.79377033,Asia/Jakarta
2003,Loa,35,-7.10085873,107.79734747,Asia/Jakarta
2004,Cijagra,35,-7.04029502,107.78812565,Asia/Jakarta
2005,Cipaku,35,-7.0593552,107.78294342,Asia/Jakarta
2006,Sindangsari,35,-7.07355909,107.77675702,Asia/Jakarta
2007,Drawati,35,-7.07892898,107.81100305,Asia/Jakarta
2008,Sukamanah,35,-7.04460732,107.77019016,Asia/Jakarta
2009,Sukamantri,35,-7.05584598,107.76939063,Asia/Jakarta
2010,Karangtunggal,35,-7.05995166,107.81229131,Asia/Jakarta
